Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
GDP (current US$),"NY.GDP.MKTP.CD","St. Kitts and Nevis","KNA","208740444.444444","420515107.700293","738942555.555555","723209111.111111","705015370.37037","753225962.962963","734462666.666667","788163888.888889","847778185.185185","878281507.766667","909854619.518519",".."
GDP (current US$),"NY.GDP.MKTP.CD","St. Lucia","LCA","483962444.444444","784159222.222222","1282215407.40741","1262973407.40741","1381968259.25926","1437684814.81481","1436803333.33333","1489928888.88889","1551921037.03704","1649142629.62963","1667078703.7037",".."
GDP (current US$),"NY.GDP.MKTP.CD","St. Martin (French part)","MAF","..","..","..","..","..","..","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","St. Vincent and the Grenadines","VCT","240365259.259259","396270000","695428851.851852","674922481.481482","681225962.962963","676129407.407407","692933740.740741","721207148.148148","727230734.814815","755205755.925926","768224226.666667",".."
GDP (current US$),"NY.GDP.MKTP.CD","Sudan","SDN","12408647540.9836","12257418326.0734","54526580231.5568","53150209167.934","65634109236.7736","67327289319.733","68125631150.2939","72065940085.772","82151588418.8325","97156119150","95584380032.2061",".."
GDP (current US$),"NY.GDP.MKTP.CD","Suriname","SUR","388300000","892164393.939394","3532969034.60838","3875409836.06557","4368398047.64333","4422276621.78703","4980000000","5145757575.75758","5240606060.60606","4826587057.68724","3278425328.32418",".."
GDP (current US$),"NY.GDP.MKTP.CD","Swaziland","SWZ","1114703088.1614","1738100853.05052","3294093485.20796","3580417066.92472","4438778424.30203","4820499924.2539","4823831656.51644","4560713073.91948","4377293816.28535","4020275298.02726","3720649374.57512",".."
GDP (current US$),"NY.GDP.MKTP.CD","Sweden","SWE","258154283908.9","259802012617.057","513965650650.119","429657033107.737","488377689564.921","563109663291.177","543880647757.404","578742001487.571","573817719109.402","497918109302.399","514459972806.171",".."
GDP (current US$),"NY.GDP.MKTP.CD","Switzerland","CHE","258066552980.132","272055499940.786","554363487120.303","541506500413.565","583782977866.405","699579638638.226","668043614122.87","688504173431.454","709182559935.301","679289166858.236","668851296244.236",".."
GDP (current US$),"NY.GDP.MKTP.CD","Syrian Arab Republic","SYR","12308624283.9787","19325894913.1254","..","..","..","..","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Tajikistan","TJK","2629395066.27017","860550305.832491","5161336170.46084","4979481980.35098","5642178579.58438","6522732202.50748","7633049792.09321","8506674782.75471","9236309138.04277","7853450374.0001","6951657158.90093",".."
GDP (current US$),"NY.GDP.MKTP.CD","Tanzania","TZA","4258743262.82876","10185786382.8283","27368386358.131","28573777052.4542","31407908612.0943","33878631649.4157","39087748240.4403","44333456244.744","48197218326.7942","45628320606.0487","47340071107.343",".."
GDP (current US$),"NY.GDP.MKTP.CD","Thailand","THA","85343063965.9182","126392308497.749","291383081231.82","281710095724.761","341105009515.333","370818747396.833","397559992407.45","420528737876.717","406521561093.357","399234547137.472","407026127310.434",".."
GDP (current US$),"NY.GDP.MKTP.CD","Timor-Leste","TLS","..","350391812.528246","659561789.395388","785961959.409202","894400000","1053500000","1188900000","1410000000","1450600000","1606500000","1782974000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Togo","TGO","1628427515.41881","1294250233.18894","3163416242.05877","3163000528.8167","3172945644.5585","3756023159.96","3866617462.61854","4080929201.27925","4482880424.33988","4087628275.95594","4399995986.56477",".."
GDP (current US$),"NY.GDP.MKTP.CD","Tonga","TON","113563821.577404","202363492.160332","349484427.609428","318166562.784677","369485198.817979","423011844.331641","472358251.224261","450686353.674011","443911052.254042","435438217.281663","401562006.229967",".."
GDP (current US$),"NY.GDP.MKTP.CD","Trinidad and Tobago","TTO","5068000000","8154338232.95978","27870257894.2347","19175196445.7936","22157948396.2042","25433011405.3017","25694164489.2373","26436159314.5624","26175952941.9107","23559224762.4424","21894706041.2353",".."
GDP (current US$),"NY.GDP.MKTP.CD","Tunisia","TUN","12290568181.8182","21473188881.5933","44856586316.0458","43454935940.1614","44050929160.2627","45810626509.4474","45044112939.3687","46251061734.4741","47587913058.8443","43156708809.1354","42062549394.7859",".."
GDP (current US$),"NY.GDP.MKTP.CD","Turkey","TUR","150676291094.21","272979390595.01","764335657318.479","644639902580.645","771876791231.838","832546270783.83","873981786532.072","950595270314.296","934167809301.667","859794177118.102","863711710426.514",".."
